number,label,train,habitat_1_mean,habitat_1_std,habitat_1_area,habitat_1_contrast,habitat_1_dissimilarity,habitat_1_homogeneity,habitat_1_ASM,habitat_1_correlation,habitat_2_mean,habitat_2_std,habitat_2_area,habitat_2_contrast,habitat_2_dissimilarity,habitat_2_homogeneity,habitat_2_ASM,habitat_2_correlation,habitat_3_mean,habitat_3_std,habitat_3_area,habitat_3_contrast,habitat_3_dissimilarity,habitat_3_homogeneity,habitat_3_ASM,habitat_3_correlation
37,1,1,0.2603876888751980,0.0378268472850322,9106,34.94445714285710,4.331428571428570,0.2060489165493370,0.0017977926530612,0.796443525292087,0.386231392621994,0.0471983514726161,5736,51.648248540450400,5.6002919099249400,0.1502477517819850,0.0014345948562918,0.8065572580863360,0.6476735472679140,0.1220002844929700,555,114.51108518086300,8.018669778296380,0.1180776632703130,0.0016624707774127,0.9409727407811180
38,1,1,0.1841895580291750,0.0397345088422298,8969,25.233204584309500,3.905021211929340,0.2047866667813330,0.0019603129513279,0.8677769801820900,0.3042479455471040,0.0488667897880077,4822,50.94735473807360,5.403613674769270,0.161502797853646,0.0017716629863119,0.8140248079076630,0.5614500641822820,0.0984379053115844,1368,122.54076539101500,8.826955074875210,0.0886427670919628,0.0008087602193792,0.895998438321701
39,1,1,0.1247382536530490,0.0501402132213115,41154,161.75463123203600,8.278235090517830,0.1971041220857010,0.0011413117051485,0.4698296395167240,0.3181481659412380,0.0599073246121406,25136,201.08233147623200,9.960837976085750,0.1133761093661270,0.0006212872272461,0.5256254435101600,0.53687983751297,0.0977615937590599,13526,376.8470266040690,12.34963484611370,0.0971244178993593,0.0004989925375977,0.6906238373674350
40,1,0,0.2225472331047060,0.041796538978815,12501,35.405034952254800,4.6775711609631300,0.1714503260347470,0.0015706533737632,0.8389037473661460,0.347036600112915,0.0496680364012718,7671,60.73146488512300,6.073814567378200,0.1412719050327100,0.001300329245574,0.7941092338304390,0.6057793498039250,0.1072890534996990,1218,129.91988130563800,8.845697329376850,0.1107618928762790,0.000861933176209,0.9123908483766680
41,1,0,0.1853358000516890,0.0328042358160018,14377,89.39887928917460,6.834639340968460,0.1620372365487310,0.0015538771103633,0.3691836685765190,0.2800686359405520,0.0334097407758235,12352,52.869752159980500,5.265809434957210,0.1778233761446920,0.0021069584518057,0.6037279409162970,0.4436137676239010,0.084128089249134,1893,51.68314833501510,5.551967709384460,0.1603957255007920,0.0014573362301299,0.946471694420812
42,1,0,0.0801660418510437,0.0370569825172424,26057,103.54169388489700,7.08762714801829,0.1685801591198370,0.0013558107996671,0.4059275981902010,0.2010736912488940,0.0445147305727005,20633,123.18325373735200,7.931419370185360,0.1344901598211970,0.0011163228646387,0.4873308106267790,0.3961556553840640,0.0833421051502227,7164,209.30736159798900,9.164230438521070,0.1215120280912540,0.000732793555193,0.7603480192141780
43,1,0,0.2128657102584840,0.0433210767805576,48199,122.58683216074200,7.293926080678360,0.2192425854628260,0.001360613811292,0.5116150388229090,0.3400337398052220,0.0439731068909168,48644,111.70056965725400,6.823188721058280,0.2150368684604370,0.0015092789981509,0.5313381746293570,0.5604233145713810,0.1011684089899060,8950,93.50307167235500,4.075581756127830,0.2524122206580840,0.0014045687945844,0.9317036353732420
44,1,0,0.1916537433862690,0.0596962794661521,19088,200.95987131730400,9.056129359972910,0.1419837695056040,0.0007354692201184,0.5588906547955500,0.3696869313716890,0.057762011885643,23708,166.34390524757400,8.992301365356150,0.1223536809273040,0.0006736688219357,0.5860271147564790,0.6137921810150150,0.1005761846899990,9971,328.2740734400410,11.17538303517930,0.1143746385471670,0.00048692056601,0.7313583258885450
45,1,0,0.3274672031402590,0.0436546318233013,5435,27.704781281790400,4.0836215666327600,0.1997566828527740,0.0016033505504046,0.8805046043572860,0.4825808405876160,0.0579865388572216,2409,62.15749621403330,6.100959111559820,0.142250913653661,0.0012752394593667,0.8412822825862940,0.7680136561393740,0.1166480258107190,460,113.85885486018600,8.287616511318240,0.1169334661991080,0.0019840390353917,0.9333045526793880
46,1,0,0.1656522899866100,0.0338939614593982,15249,59.26433740144720,5.499675990927750,0.1804962594287180,0.0017390379467616,0.5785017805403160,0.2793275117874150,0.0412425734102726,11426,108.42770981701700,7.769789075544350,0.1255658560176520,0.0012088607733167,0.4601387249352790,0.4621487855911260,0.0891247242689132,2979,124.57498026835000,7.689423835832680,0.1232010244849940,0.0009713982965061,0.8809271020915730
